NR_TRABALHO;Total_Horas;vinculo_atividade_planejamento;DEPE_atividade_planejamento;descricao_atividade_planejamento;tipo_atividade_planejamento;DT_INC_atividade_planejamento;DT_FIM_atividade_planejamento;horas_destinadas_trabalho
49797;4579;51236;9610;Pré-auditoria;Processo Corporativo;12AUG2024;30AUG2024;100
49797;4579;51237;9610;Execução;Processo Corporativo;02SEP2024;06DEC2024;400
49797;4579;51239;9610;Supervisão;Processo Corporativo;12AUG2024;17/jan/25;40
49797;4579;51569;9875;Comunicação de Resultados;Processo Corporativo;09DEC2024;17/jan/25;120
49797;4579;51056;9875;Pré-auditoria;Processo Corporativo;12AUG2024;30AUG2024;150
49797;4579;51057;9875;Execução;Processo Corporativo;02SEP2024;06DEC2024;600
49797;4579;51571;9875;Supervisão;Processo Corporativo;12AUG2024;17/jan/25;110
49797;4579;51570;9889;Comunicação de Resultados;Processo Corporativo;09DEC2024;17/jan/25;40
49797;4579;51567;9889;Pré-auditoria;Processo Corporativo;12AUG2024;30AUG2024;160
49797;4579;51568;9889;Execução;Processo Corporativo;02SEP2024;06DEC2024;600
49797;4579;51572;9889;Supervisão;Processo Corporativo;12AUG2024;17/jan/25;80
49797;4579;51295;9920;Comunicação de Resultados;Processo Corporativo;09DEC2024;17/jan/25;20
49797;4579;51293;9920;Pré-auditoria;Processo Corporativo;12AUG2024;30AUG2024;80
49797;4579;51294;9920;Execução;Processo Corporativo;02SEP2024;06DEC2024;200
49828;1020;49831;8888;Execução;Processo Corporativo;04/nov/24;24/jan/25;600
49828;1020;49832;8888;Comunicação de Resultados;Processo Corporativo;27/jan/25;24FEB2025;120
49828;1020;49830;8888;Pré-auditoria;Processo Corporativo;30SEP2024;01/nov/24;200
49828;1020;49833;8888;Supervisão;Processo Corporativo;30SEP2024;24FEB2025;100
49850;3410;49972;8454;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49907;8454;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;49877;8888;Execução;Processo Corporativo;11/nov/24;10/jan/25;240
49850;3410;49878;8888;Comunicação de Resultados;Processo Corporativo;13/jan/25;21FEB2025;120
49850;3410;49876;8888;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;150
49850;3410;49985;8960;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49908;8960;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;49990;9604;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49957;9604;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;49995;9608;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49959;9608;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;49999;9610;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49961;9610;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;49872;9820;Execução;Processo Corporativo;11/nov/24;10/jan/25;756
49850;3410;49873;9820;Comunicação de Resultados;Processo Corporativo;13/jan/25;21FEB2025;540
49850;3410;49871;9820;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;522
49850;3410;49874;9820;Supervisão;Processo Corporativo;01OCT2024;21FEB2025;182
49850;3410;49988;9825;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49952;9825;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;50000;9875;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49964;9875;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;50001;9889;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
49850;3410;49967;9889;Pré-auditoria;Processo Corporativo;01OCT2024;08/nov/24;50
49850;3410;50002;9920;Execução;Processo Corporativo;11/nov/24;10/jan/25;50
